model,inquiry_id,split,valid,validation_error,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-ac-05,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.9,1406.618,724,140,0.0
deepseek-chat,golden-cl-01,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.72,1732.079,718,212,0.0
deepseek-chat,golden-cl-02,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1383.351,718,177,0.0
deepseek-chat,golden-cl-03,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1710.07,718,202,0.0
deepseek-chat,golden-cl-04,golden,True,,CLAIM,CLAIM,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1532.189,718,174,0.0
deepseek-chat,golden-cl-05,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.72,1839.279,726,199,0.0
deepseek-chat,golden-co-01,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.72,1329.002,719,159,0.0
deepseek-chat,golden-co-02,golden,True,,COMPLAINT,COMPLAINT,NORMAL,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,False,True,True,0.75,0.82,1532.684,719,166,0.0
deepseek-chat,golden-co-03,golden,True,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1430.21,720,156,0.0
deepseek-chat,golden-co-04,golden,True,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1432.931,723,172,0.0
deepseek-chat,golden-co-05,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.6,1530.656,722,173,0.0
deepseek-chat,golden-ot-01,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1749.329,724,184,0.0
deepseek-chat,golden-ot-02,golden,False,SCHEMA_VALIDATION_FAILED,OTHER,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,1699.676,719,216,0.0
deepseek-chat,golden-ot-03,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,2516.063,717,141,0.0
deepseek-chat,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
deepseek-chat,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-pq-01,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,421.051,0,0,0.0
gemini-3.6-flash,golden-pq-02,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,406.93,0,0,0.0
gemini-3.6-flash,golden-pq-03,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,263.757,0,0,0.0
gemini-3.6-flash,golden-pq-04,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,346.088,0,0,0.0
gemini-3.6-flash,golden-pq-05,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,229.44,0,0,0.0
gemini-3.6-flash,golden-pb-01,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,336.875,0,0,0.0
gemini-3.6-flash,golden-pb-02,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,267.897,0,0,0.0
gemini-3.6-flash,golden-pb-03,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,327.363,0,0,0.0
gemini-3.6-flash,golden-pb-04,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,436.52,0,0,0.0
gemini-3.6-flash,golden-pb-05,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,393.212,0,0,0.0
gemini-3.6-flash,golden-ac-01,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,227.63,0,0,0.0
gemini-3.6-flash,golden-ac-02,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,340.362,0,0,0.0
gemini-3.6-flash,golden-ac-03,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,284.712,0,0,0.0
gemini-3.6-flash,golden-ac-04,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,266.94,0,0,0.0
gemini-3.6-flash,golden-ac-05,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,323.737,0,0,0.0
gemini-3.6-flash,golden-cl-01,golden,False,PROVIDER_FAILURE,CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,319.291,0,0,0.0
gemini-3.6-flash,golden-cl-02,golden,False,PROVIDER_FAILURE,CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,258.063,0,0,0.0
gemini-3.6-flash,golden-cl-03,golden,False,PROVIDER_FAILURE,CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,271.867,0,0,0.0
gemini-3.6-flash,golden-cl-04,golden,False,PROVIDER_FAILURE,CLAIM,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,329.313,0,0,0.0
gemini-3.6-flash,golden-cl-05,golden,False,PROVIDER_FAILURE,CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,297.61,0,0,0.0
gemini-3.6-flash,golden-co-01,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,273.699,0,0,0.0
gemini-3.6-flash,golden-co-02,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,321.919,0,0,0.0
gemini-3.6-flash,golden-co-03,golden,False,PROVIDER_FAILURE,COMPLAINT,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,280.249,0,0,0.0
gemini-3.6-flash,golden-co-04,golden,False,PROVIDER_FAILURE,COMPLAINT,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,302.489,0,0,0.0
gemini-3.6-flash,golden-co-05,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,336.704,0,0,0.0
gemini-3.6-flash,golden-ot-01,golden,False,PROVIDER_FAILURE,OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,256.893,0,0,0.0
gemini-3.6-flash,golden-ot-02,golden,False,PROVIDER_FAILURE,OTHER,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,342.464,0,0,0.0
gemini-3.6-flash,golden-ot-03,golden,False,PROVIDER_FAILURE,OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,239.749,0,0,0.0
gemini-3.6-flash,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
