model,inquiry_id,split,valid,validation_error,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-cl-05,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.72,1559.068,726,200,0.0
deepseek-chat,golden-co-01,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.62,1941.92,719,248,0.0
deepseek-chat,golden-co-02,golden,True,,COMPLAINT,COMPLAINT,NORMAL,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,False,True,True,0.75,0.62,1840.028,719,239,0.0
deepseek-chat,golden-co-03,golden,True,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.78,1296.698,720,175,0.0
deepseek-chat,golden-co-04,golden,True,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.82,1363.306,723,185,0.0
deepseek-chat,golden-co-05,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.6,1529.592,722,184,0.0
deepseek-chat,golden-ot-01,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1737.644,724,184,0.0
deepseek-chat,golden-ot-02,golden,True,,OTHER,OTHER,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1635.568,719,219,0.0
deepseek-chat,golden-ot-03,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1682.185,717,137,0.0
deepseek-chat,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
deepseek-chat,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-pq-01,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.95,3767.042,166,143,0.0
gemini-3.6-flash,golden-pq-02,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,459.848,0,0,0.0
gemini-3.6-flash,golden-pq-03,golden,True,,POLICY_QUERY,POLICY_QUERY,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.95,3439.569,164,125,0.0
gemini-3.6-flash,golden-pq-04,golden,True,,POLICY_QUERY,POLICY_QUERY,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.9,4273.866,167,102,0.0
gemini-3.6-flash,golden-pq-05,golden,False,PROVIDER_FAILURE,POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,268.552,0,0,0.0
gemini-3.6-flash,golden-pb-01,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,344.789,0,0,0.0
gemini-3.6-flash,golden-pb-02,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,266.551,0,0,0.0
gemini-3.6-flash,golden-pb-03,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,323.426,0,0,0.0
gemini-3.6-flash,golden-pb-04,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,283.206,0,0,0.0
gemini-3.6-flash,golden-pb-05,golden,False,PROVIDER_FAILURE,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,317.222,0,0,0.0
gemini-3.6-flash,golden-ac-01,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,294.814,0,0,0.0
gemini-3.6-flash,golden-ac-02,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,299.293,0,0,0.0
gemini-3.6-flash,golden-ac-03,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,294.779,0,0,0.0
gemini-3.6-flash,golden-ac-04,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.75,0.95,3111.003,172,120,0.0
gemini-3.6-flash,golden-ac-05,golden,False,PROVIDER_FAILURE,ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,335.807,0,0,0.0
gemini-3.6-flash,golden-cl-01,golden,False,PROVIDER_FAILURE,CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,307.239,0,0,0.0
gemini-3.6-flash,golden-cl-02,golden,False,PROVIDER_FAILURE,CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,334.409,0,0,0.0
gemini-3.6-flash,golden-cl-03,golden,False,PROVIDER_FAILURE,CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,277.659,0,0,0.0
gemini-3.6-flash,golden-cl-04,golden,False,PROVIDER_FAILURE,CLAIM,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,342.488,0,0,0.0
gemini-3.6-flash,golden-cl-05,golden,False,PROVIDER_FAILURE,CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,243.19,0,0,0.0
gemini-3.6-flash,golden-co-01,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,306.403,0,0,0.0
gemini-3.6-flash,golden-co-02,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,337.435,0,0,0.0
gemini-3.6-flash,golden-co-03,golden,True,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.92,5456.117,162,136,0.0
gemini-3.6-flash,golden-co-04,golden,False,PROVIDER_FAILURE,COMPLAINT,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,256.476,0,0,0.0
gemini-3.6-flash,golden-co-05,golden,False,PROVIDER_FAILURE,COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,345.069,0,0,0.0
gemini-3.6-flash,golden-ot-01,golden,False,PROVIDER_FAILURE,OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,272.33,0,0,0.0
gemini-3.6-flash,golden-ot-02,golden,False,PROVIDER_FAILURE,OTHER,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,335.577,0,0,0.0
gemini-3.6-flash,golden-ot-03,golden,False,PROVIDER_FAILURE,OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,268.06,0,0,0.0
gemini-3.6-flash,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
