model,inquiry_id,split,valid,validation_error,failure_detail,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
deepseek-chat,golden-ac-01,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1838.758,717,170,0.0
deepseek-chat,golden-ac-02,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,LOW,PENDING_REVIEW,PENDING_REVIEW,True,False,True,True,0.2,0.82,1536.035,724,165,0.0
deepseek-chat,golden-ac-03,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1940.702,726,198,0.0
deepseek-chat,golden-ac-04,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1840.178,730,197,0.0
deepseek-chat,golden-ac-05,golden,True,,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.2,0.9,1531.243,724,137,0.0
deepseek-chat,golden-cl-01,golden,True,,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.78,2096.023,718,219,0.0
deepseek-chat,golden-cl-02,golden,True,,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,2096.153,718,192,0.0
deepseek-chat,golden-cl-03,golden,False,SCHEMA_VALIDATION_FAILED,Schema validation failed: confidence.methodology (string_too_long),CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,2146.969,718,234,0.0
deepseek-chat,golden-cl-04,golden,True,,,CLAIM,CLAIM,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.78,1601.197,718,169,0.0
deepseek-chat,golden-cl-05,golden,True,,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.72,2179.931,726,231,0.0
deepseek-chat,golden-co-01,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.78,1940.737,719,188,0.0
deepseek-chat,golden-co-02,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,False,True,True,1.0,0.62,2343.563,719,217,0.0
deepseek-chat,golden-co-03,golden,True,,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.62,1543.425,720,177,0.0
deepseek-chat,golden-co-04,golden,True,,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.82,1738.387,723,193,0.0
deepseek-chat,golden-co-05,golden,True,,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.6,1739.304,722,174,0.0
deepseek-chat,golden-ot-01,golden,True,,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1627.81,724,189,0.0
deepseek-chat,golden-ot-02,golden,True,,,OTHER,OTHER,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,0.4,0.55,1917.199,719,219,0.0
deepseek-chat,golden-ot-03,golden,True,,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.82,1667.324,717,138,0.0
deepseek-chat,golden-ot-04,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
deepseek-chat,golden-ot-05,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-pq-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,476.071,0,0,0.0
gemini-3.6-flash,golden-pq-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,405.821,0,0,0.0
gemini-3.6-flash,golden-pq-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,242.313,0,0,0.0
gemini-3.6-flash,golden-pq-04,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,323.596,0,0,0.0
gemini-3.6-flash,golden-pq-05,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",POLICY_QUERY,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,285.334,0,0,0.0
gemini-3.6-flash,golden-pb-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,323.006,0,0,0.0
gemini-3.6-flash,golden-pb-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",PREMIUM_BILLING,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,451.852,0,0,0.0
gemini-3.6-flash,golden-pb-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",PREMIUM_BILLING,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,238.341,0,0,0.0
gemini-3.6-flash,golden-pb-04,golden,False,PROVIDER_FAILURE,Gemini provider failed: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)>,PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,30.017,0,0,0.0
gemini-3.6-flash,golden-pb-05,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",PREMIUM_BILLING,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,332.721,0,0,0.0
gemini-3.6-flash,golden-ac-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,240.714,0,0,0.0
gemini-3.6-flash,golden-ac-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,338.058,0,0,0.0
gemini-3.6-flash,golden-ac-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",ADDRESS_CHANGE,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,276.933,0,0,0.0
gemini-3.6-flash,golden-ac-04,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",ADDRESS_CHANGE,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,305.033,0,0,0.0
gemini-3.6-flash,golden-ac-05,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",ADDRESS_CHANGE,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,508.109,0,0,0.0
gemini-3.6-flash,golden-cl-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,306.701,0,0,0.0
gemini-3.6-flash,golden-cl-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,326.453,0,0,0.0
gemini-3.6-flash,golden-cl-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",CLAIM,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,269.159,0,0,0.0
gemini-3.6-flash,golden-cl-04,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",CLAIM,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,328.802,0,0,0.0
gemini-3.6-flash,golden-cl-05,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",CLAIM,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,276.871,0,0,0.0
gemini-3.6-flash,golden-co-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,332.712,0,0,0.0
gemini-3.6-flash,golden-co-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,269.425,0,0,0.0
gemini-3.6-flash,golden-co-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",COMPLAINT,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,345.643,0,0,0.0
gemini-3.6-flash,golden-co-04,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",COMPLAINT,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,245.009,0,0,0.0
gemini-3.6-flash,golden-co-05,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",COMPLAINT,,NORMAL,,PENDING_REVIEW,,False,False,False,False,0.0,,480.765,0,0,0.0
gemini-3.6-flash,golden-ot-01,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,238.974,0,0,0.0
gemini-3.6-flash,golden-ot-02,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",OTHER,,URGENT,,PENDING_REVIEW,,False,False,False,False,0.0,,301.627,0,0,0.0
gemini-3.6-flash,golden-ot-03,golden,False,PROVIDER_FAILURE,"Gemini provider rejected the request with HTTP 429: { ""error"": { ""code"": 429, ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head t",OTHER,,LOW,,PENDING_REVIEW,,False,False,False,False,0.0,,300.758,0,0,0.0
gemini-3.6-flash,golden-ot-04,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
gemini-3.6-flash,golden-ot-05,golden,True,,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
