model,inquiry_id,split,valid,validation_error,expected_case_type,actual_case_type,expected_priority,actual_priority,expected_safety_status,actual_safety_status,classification_correct,priority_correct,safety_correct,groundedness_pass,reply_quality_score,confidence,latency_ms,input_tokens,output_tokens,cost_usd
demo-fast,golden-cl-02,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.016,0,0,0.0
demo-fast,golden-cl-03,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.018,0,0,0.0
demo-fast,golden-cl-04,golden,True,,CLAIM,CLAIM,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.015,0,0,0.0
demo-fast,golden-cl-05,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.018,0,0,0.0
demo-fast,golden-co-01,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.017,0,0,0.0
demo-fast,golden-co-02,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.017,0,0,0.0
demo-fast,golden-co-03,golden,True,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.015,0,0,0.0
demo-fast,golden-co-04,golden,True,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.016,0,0,0.0
demo-fast,golden-co-05,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.017,0,0,0.0
demo-fast,golden-ot-01,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.02,0,0,0.0
demo-fast,golden-ot-02,golden,True,,OTHER,OTHER,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.021,0,0,0.0
demo-fast,golden-ot-03,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.84,0.019,0,0,0.0
demo-fast,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
demo-fast,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
demo-conservative,golden-pq-01,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.022,0,0,0.0
demo-conservative,golden-pq-02,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.02,0,0,0.0
demo-conservative,golden-pq-03,golden,True,,POLICY_QUERY,POLICY_QUERY,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.018,0,0,0.0
demo-conservative,golden-pq-04,golden,True,,POLICY_QUERY,POLICY_QUERY,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.02,0,0,0.0
demo-conservative,golden-pq-05,golden,True,,POLICY_QUERY,POLICY_QUERY,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.021,0,0,0.0
demo-conservative,golden-pb-01,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.019,0,0,0.0
demo-conservative,golden-pb-02,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.018,0,0,0.0
demo-conservative,golden-pb-03,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-pb-04,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.02,0,0,0.0
demo-conservative,golden-pb-05,golden,True,,PREMIUM_BILLING,PREMIUM_BILLING,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.02,0,0,0.0
demo-conservative,golden-ac-01,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.018,0,0,0.0
demo-conservative,golden-ac-02,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.019,0,0,0.0
demo-conservative,golden-ac-03,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-ac-04,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.018,0,0,0.0
demo-conservative,golden-ac-05,golden,True,,ADDRESS_CHANGE,ADDRESS_CHANGE,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.023,0,0,0.0
demo-conservative,golden-cl-01,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-cl-02,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.016,0,0,0.0
demo-conservative,golden-cl-03,golden,True,,CLAIM,CLAIM,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.015,0,0,0.0
demo-conservative,golden-cl-04,golden,True,,CLAIM,CLAIM,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.015,0,0,0.0
demo-conservative,golden-cl-05,golden,True,,CLAIM,CLAIM,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-co-01,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-co-02,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-co-03,golden,True,,COMPLAINT,COMPLAINT,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.015,0,0,0.0
demo-conservative,golden-co-04,golden,True,,COMPLAINT,COMPLAINT,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.015,0,0,0.0
demo-conservative,golden-co-05,golden,True,,COMPLAINT,COMPLAINT,NORMAL,NORMAL,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.017,0,0,0.0
demo-conservative,golden-ot-01,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.019,0,0,0.0
demo-conservative,golden-ot-02,golden,True,,OTHER,OTHER,URGENT,URGENT,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.021,0,0,0.0
demo-conservative,golden-ot-03,golden,True,,OTHER,OTHER,LOW,LOW,PENDING_REVIEW,PENDING_REVIEW,True,True,True,True,1.0,0.76,0.025,0,0,0.0
demo-conservative,golden-ot-04,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
demo-conservative,golden-ot-05,golden,True,,OTHER,OTHER,NORMAL,NORMAL,REFUSE_AND_ESCALATE,REFUSE_AND_ESCALATE,True,True,True,True,1.0,0.96,0.0,0,0,0.0
